parameter_name,prior_mean,prior_sigma,proposal_sigma_1,proposal_sigma_2,gaussian_mix_fraction
a1,0.001,3,0.7,3,0.9
a3,0.15,3,0.7,3,0.9
a4,0.058,3,0.7,3,0.9
a80,0.272,3,0.7,3,0.9
aR,0.288,3,0.7,3,0.9
ag1,10,3,0.7,3,0.9
ag3,1.045,3,0.7,3,0.9
ag4,0.011,3,0.7,3,0.9
ag80,0.735,3,0.7,3,0.9
KG1,3.6697,3,0.7,3,0.9
KG3,6.672,3,0.7,3,0.9
KG80,24.0337,3,0.7,3,0.9
KR1,17.5836,3,0.7,3,0.9
KR3,28.8,3,0.7,3,0.9
KR4,6.744,3,0.7,3,0.9
kf3,2.4,3,0.7,3,0.9
kf83,720,3,0.7,3,0.9
kf84,285.6,3,0.7,3,0.9
kfR,0.0562,3,0.7,3,0.9
KMgal,200000000,3,0.7,3,0.9
KMglu,1000000,3,0.7,3,0.9
n1,3,0.1,0.1,0.4,0.9
n2,3,0.1,0.1,0.4,0.9
n3,2,0.1,0.1,0.4,0.9
n80,2,0.1,0.1,0.4,0.9
nR1,2,0.1,0.1,0.4,0.9
nR3,2,0.1,0.1,0.4,0.9
nR4,1,0.1,0.1,0.4,0.9
d,0.0077,0.1,0.1,0.4,0.9
