parameter_name,prior_mean,prior_sigma,proposal_sigma_1,proposal_sigma_2,gaussian_mix_fraction
a1,0.001,0.3,0.15,1.5,0.9
a3,0.15,0.3,0.15,1.5,0.9
a4,0.058,0.3,0.15,1.5,0.9
a80,0.272,0.3,0.15,1.5,0.9
aR,0.288,0.3,0.15,1.5,0.9
ag1,10,0.3,0.15,1.5,0.9
ag3,1.045,0.3,0.15,1.5,0.9
ag4,0.011,0.3,0.15,1.5,0.9
ag80,0.735,0.3,0.15,1.5,0.9
d,0.0077,0.1,0.05,0.5,0.9
kf3,2.4,0.3,0.15,1.5,0.9
kf83,720,0.3,0.15,1.5,0.9
kf84,285.6,0.3,0.15,1.5,0.9
kfR,0.0562,0.3,0.15,1.5,0.9
KG1,3.67,0.3,0.15,1.5,0.9
KG3,6.67,0.3,0.15,1.5,0.9
KG80,24.03,0.3,0.15,1.5,0.9
KR1,17.58,0.3,0.15,1.5,0.9
KR3,28.8,0.3,0.15,1.5,0.9
KR4,6.74,0.3,0.15,1.5,0.9
kglu,4350,0.3,0.15,1.5,0.9
kgal,4350,0.3,0.15,1.5,0.9
KMglu,7.50E+05,0.3,0.15,1.5,0.9
KMgal,3.00E+06,0.3,0.15,1.5,0.9
n1,3,0.1,0.05,0.5,0.9
n3,2,0.1,0.05,0.5,0.9
n80,2,0.1,0.05,0.5,0.9
nR1,2,0.1,0.05,0.5,0.9
nR3,2,0.1,0.05,0.5,0.9
nR4,1,0.1,0.05,0.5,0.9
